,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
163,165,Edmonton City Centre (Blatchford Field) Airport,53.5724983215,-113.52100372299999,Canada,North America,YXD,CYXD,2202,,
164,166,Saskatoon John G. Diefenbaker International Airport,52.170799255371094,-106.6999969482422,Canada,North America,YXE,CYXE,1653,1.0,30.0
165,167,Medicine Hat Airport,50.01890182495117,-110.72100067138672,Canada,North America,YXH,CYXH,2352,0.0,2.0
166,168,Fort St John Airport,56.23809814453125,-120.73999786376952,Canada,North America,YXJ,CYXJ,2280,0.6,12.0
167,169,Sioux Lookout Airport,50.11389923095703,-91.9052963256836,Canada,North America,YXL,CYXL,1258,0.1176470588235294,34.0
168,170,Pangnirtung Airport,66.1449966431,-65.71360015869999,Canada,North America,YXP,CYXP,75,0.0,8.0
169,171,Earlton (Timiskaming Regional) Airport,47.6974006546,-79.84734535220001,Canada,North America,YXR,CYXR,800,,
170,172,Prince George Airport,53.8894004822,-122.679000854,Canada,North America,YXS,CYXS,2267,0.3928571428571429,20.0
171,173,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,Canada,North America,YXT,CYXT,713,1.0,10.0
172,174,London Airport,43.035599,-81.1539,Canada,North America,YXU,CYXU,912,1.0,12.0
173,175,Abbotsford Airport,49.02529907226562,-122.36100006103516,Canada,North America,YXX,CYXX,195,1.0,4.0
174,176,Whitehorse / Erik Nielsen International Airport,60.709598541300004,-135.067001343,Canada,North America,YXY,CYXY,2317,0.8,10.0
175,177,North Bay Airport,46.36360168457031,-79.42279815673828,Canada,North America,YYB,CYYB,1215,1.0,4.0
176,178,Calgary International Airport,51.113899231000005,-114.019996643,Canada,North America,YYC,CYYC,3557,0.23389830508474574,228.0
177,179,Smithers Airport,54.82469940185547,-127.18299865722656,Canada,North America,YYD,CYYD,1712,1.0,8.0
178,180,Fort Nelson Airport,58.8363990784,-122.59700012200001,Canada,North America,YYE,CYYE,1253,0.3333333333333333,6.0
179,181,Penticton Airport,49.46310043334961,-119.60199737548828,Canada,North America,YYF,CYYF,1129,0.0,2.0
180,182,Charlottetown Airport,46.290000915527344,-63.12110137939453,Canada,North America,YYG,CYYG,160,1.0,8.0
181,183,Taloyoak Airport,69.5466995239,-93.57669830319999,Canada,North America,YYH,CYYH,92,1.0,8.0
182,184,Victoria International Airport,48.646900177,-123.426002502,Canada,North America,YYJ,CYYJ,63,0.9285714285714286,26.0
183,185,Lynn Lake Airport,56.86389923095703,-101.07599639892578,Canada,North America,YYL,CYYL,1170,,
184,186,Swift Current Airport,50.291900634799994,-107.691001892,Canada,North America,YYN,CYYN,2680,,
185,187,Churchill Airport,58.73920059204102,-94.06500244140624,Canada,North America,YYQ,CYYQ,94,0.6666666666666666,16.0
186,188,Goose Bay Airport,53.3191986084,-60.425800323500006,Canada,North America,YYR,CYYR,160,0.14545454545454545,30.0
187,189,St. John's International Airport,47.618598938000005,-52.751899719200004,Canada,North America,YYT,CYYT,461,0.3717948717948718,43.0
188,190,Kapuskasing Airport,49.41389846801758,-82.46749877929688,Canada,North America,YYU,CYYU,743,1.0,3.0
189,191,Armstrong Airport,50.29029846191406,-88.90969848632812,Canada,North America,YYW,CYYW,1058,,
190,192,Mont Joli Airport,48.60860061645508,-68.20809936523439,Canada,North America,YYY,CYYY,172,0.7333333333333333,16.0
191,193,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,Canada,North America,YYZ,CYYZ,569,0.19206038579815488,636.0
192,194,Downsview Airport,43.74250030517578,-79.4655990600586,Canada,North America,YZD,CYZD,652,,
193,195,Gore Bay Manitoulin Airport,45.88529968261719,-82.56780242919922,Canada,North America,YZE,CYZE,635,,
194,196,Yellowknife Airport,62.46279907226562,-114.44000244140624,Canada,North America,YZF,CYZF,675,0.0784313725490196,58.0
195,197,Slave Lake Airport,55.293098449700004,-114.777000427,Canada,North America,YZH,CYZH,1912,,
196,198,Sandspit Airport,53.25429916379999,-131.813995361,Canada,North America,YZP,CYZP,21,0.0,2.0
197,199,Chris Hadfield Airport,42.9994010925293,-82.30889892578125,Canada,North America,YZR,CYZR,594,0.0,2.0
198,200,Port Hardy Airport,50.68059921264648,-127.36699676513672,Canada,North America,YZT,CYZT,71,0.0,4.0
199,201,Whitecourt Airport,54.14390182495117,-115.78700256347656,Canada,North America,YZU,CYZU,2567,,
200,202,Sept-Îles Airport,50.22330093383789,-66.26560211181639,Canada,North America,YZV,CYZV,180,0.3111111111111111,42.0
201,203,Teslin Airport,60.17279815673828,-132.74299621582028,Canada,North America,YZW,CYZW,2313,,
202,204,CFB Greenwood,44.98440170288086,-64.91690063476561,Canada,North America,YZX,CYZX,92,,
203,205,Faro Airport,62.20750045776367,-133.37600708007812,Canada,North America,ZFA,CZFA,2351,,
204,206,Fort Mcpherson Airport,67.40750122070311,-134.86099243164062,Canada,North America,ZFM,CZFM,116,0.0,2.0
205,207,Blida Airport,36.50360107421875,2.814169883728028,Algeria,Africa,\N,DAAB,535,,
206,208,Bou Saada Airport,35.33250045776367,4.206389904022217,Algeria,Africa,\N,DAAD,1506,,
207,209,Soummam Airport,36.712001800500005,5.0699200630200005,Algeria,Africa,BJA,DAAE,20,1.0,12.0
